Year,Month,Mean maximum temperature,Mean minimum temperature,Highest temperature,Lowest temperature
2006,12,24.8,11.5,42.8,6.2
2007,1,27.2,15.4,41.2,10.2
2007,2,28.3,16.7,39.4,11.8
2007,3,25,13.2,37.8,6.8
2007,4,21.9,10.3,29.4,4.2
2007,5,19.4,11.5,24.4,6.5
2007,6,13.3,5.8,16,0.8
2007,7,13.5,5.1,17.8,-1.6
2007,8,16.8,6,26.8,-0.6
2007,9,18.7,6.2,22.8,-1.1
2007,10,21.7,8.9,35,1.3
2007,11,23.4,12.9,37.3,7.7
2007,12,26.2,13.7,41.1,7.2
2008,1,27.3,15.8,41.4,9.8
2008,2,24.2,14.2,36,8.8
2008,3,26.8,12.6,40.9,5.6
2008,4,20.5,8.9,27.9,3.8
2008,5,16.9,7.5,21.2,0.6
2008,6,15.3,8.1,19.3,1.6
2008,7,13.8,4.7,18.2,-1.1
2008,8,14.1,5.2,18.6,0.3
2008,9,18.5,7.4,28.7,1.3
2008,10,21.7,8.9,33,1.4
2008,11,22.7,10.9,34.9,4.5
2008,12,22.8,11.6,34.6,5.6
2009,1,27.5,12.9,44.8,6.5
2009,2,27.1,14.9,47.5,8.2
2009,3,23.6,12.7,35.2,6.5
2009,4,20.2,9.3,32.8,0.3
2009,5,16.8,7.7,21.8,1.9
2009,6,15.1,5.7,19.8,1.1
2009,7,15.2,6,19.6,-2.1
2009,8,17,7.7,20.9,2.1
2009,9,18.7,8.1,31.2,3
2009,10,19.1,8.2,30.3,2.2
2009,11,25.8,13.8,38.3,7.7
2009,12,24.9,12.8,40,7.6
2010,1,26.7,14.7,44.7,9.5
2010,2,27.3,16.5,35.3,9.6
2010,3,25.2,14.6,34.2,8.5
2010,4,22.5,12.5,30.7,6.1
2010,5,17.5,7.8,25.3,0.1
2010,6,14.1,5.7,17.4,0.6
2010,7,14,5.2,18,0.7
2010,8,13.9,5.9,17.6,2.3
2010,9,15.6,6.9,19.3,1.3
2010,10,19.4,8.4,29.1,1.4
2010,11,21.6,11.6,31.5,4.8
2010,12,23.6,12.1,41.9,6.6
2011,1,25.3,15.6,38.4,9.8
2011,2,23.9,15.4,40.5,9.4
2011,3,22,13.1,32,7.2
2011,4,20.1,9.3,26.9,3.5
2011,5,15.5,7.7,21.4,2.2
2011,6,14.9,5.5,19.5,-1
2011,7,13.9,6.1,19.9,-1.8
2011,8,16.6,6.3,22.3,0
2011,9,18.7,7.1,27.8,1.6
2011,10,19.9,9.4,30,1.5
2011,11,23.4,11.9,35.1,5.2
2011,12,23.6,13.1,34.3,5.8
2012,1,26.4,15.1,39.5,10.4
2012,2,26.2,15.6,38.2,10.2
2012,3,22.8,13.1,31.5,7.7
2012,4,21.3,9.6,30,3
2012,5,16.6,7.7,23.7,2.4
2012,6,13.7,6.4,16.7,0.2
2012,7,14.2,5.8,17.4,-0.6
2012,8,14.6,6.4,20.1,1.2
2012,9,17.6,7.3,26.5,1.2
2012,10,20.2,7.8,33.5,3.3
2012,11,22.7,11.3,39.1,5
2012,12,25,12.8,38.6,7
2013,1,26.7,14.2,41.7,8
2013,2,27.4,15.5,37.4,10.6
2013,3,26.8,14.7,37.2,8.5
2013,4,20.4,10.4,28.2,2.6
2013,5,18,7.9,27.2,2.2
2013,6,14.4,5.4,17.8,-1.5
2013,7,15.3,6.8,21.4,-0.1
2013,8,16.1,7.5,22.7,3.3
2013,9,19,9.1,23.9,-0.7
2013,10,18.9,8.7,31.8,3.2
2013,11,20.7,10.8,32.9,4.9
2013,12,24.3,12,40.3,5.9
2014,1,28,15.6,44.7,8.8
2014,2,27.3,14.6,40.5,9.6
2014,3,24.8,13.3,34.3,8.2
2014,4,20.2,12.3,34.9,3.1
2014,5,18.8,9.3,25.5,1.4
2014,6,15.2,8,18.3,1.7
2014,7,14.1,6.9,19.2,2.1
2014,8,15,5.9,22.7,-0.8
2014,9,18.4,7.3,28.5,0.7
2014,10,21.9,9.2,33.6,4.1
2014,11,23,11.2,35.6,5
2014,12,23.7,13,34.5,7.4
2015,1,26.1,14.6,41.4,7.9
2015,2,26.6,15.9,37.6,12.6
2015,3,23.2,11.3,35.6,6
2015,4,19.2,9.6,31,4.1
2015,5,17.2,8.2,23.8,3
2015,6,13.9,6.1,18.2,0.9
2015,7,13.3,5.5,16.3,-1.5
2015,8,13.8,6.3,19,0.6
2015,9,17.4,7.2,27.7,0.6
2015,10,24.8,10.7,36.4,1.7
2015,11,22.8,11.6,35.3,5.6
2015,12,27.8,13.6,43.9,5.2
2016,1,26.2,15.9,43.8,8.7
2016,2,25.7,15.5,41,10.8
2016,3,24.7,15.3,40.5,8.1
2016,4,22.5,11.9,30.4,6.1
2016,5,18.6,10.1,26.6,0.3
2016,6,14,6.4,17.7,1
2016,7,14.2,7.1,18.7,0.5
2016,8,15.5,6.9,20.4,1.3
2016,9,16.5,8.5,23.2,4.4
2016,10,19,8.1,27.2,1.3
2016,11,21,10,35.9,5.2
2016,12,25.6,13.1,38.8,5.6
2017,1,26.5,15.7,37.7,10.9
2017,2,26.1,13.4,37.1,7.4
2017,3,26.5,14.6,33.9,7.3
2017,4,20.5,11.1,28.8,6.5
2017,5,16.8,7.6,20.2,3.3
2017,6,14.8,5,18.4,1.4
2017,7,14.6,4.9,18,-1.7
2017,8,14.6,5.4,21.3,-0.1
2017,9,18.1,7.3,31.3,-0.5
2017,10,21,9.3,31.3,3.8
2017,11,25.8,13.4,37,4.1
2017,12,24.8,14.1,39.1,9.3
2018,1,27.5,16.3,43.1,10.2
2018,2,27.2,15.8,37.4,9.8
2018,3,25.1,13.4,34.5,7.7
2018,4,21.9,10.9,31.2,3.7
2018,5,17.5,9.4,25.4,2.1
2018,6,14.2,5.4,18.1,1
2018,7,14.9,6.3,19.9,0.5
2018,8,15.1,5.3,19.9,-2.1
2018,9,17.7,6.3,25.3,0.8
2018,10,21.4,9.8,28.2,1.7
2018,11,22.3,11.4,34.8,4.8
2018,12,25.6,15,39.2,8.2
2019,1,28.5,16.2,44.8,10.1
2019,2,26.1,14.3,38.5,8.1
2019,3,25.5,14.3,39.1,6.6
2019,4,22.4,10.6,31.6,4.6
2019,5,17.9,9.1,23.4,3.2
2019,6,14.9,7.2,19.1,0.4
2019,7,14.7,6.6,17.7,0.8
2019,8,14.3,6.1,19.6,0.3
2019,9,17.7,7.2,25.3,2.2
2019,10,21.8,8.9,34.8,0.5
2019,11,22.2,9.8,42.4,4.4
2019,12,25.7,13.1,45.2,7.6
2020,1,26.6,14.1,44.1,9.5
2020,2,24,15.4,34,7.1
2020,3,22.8,13.4,33,9.3
2020,4,19.1,10.2,23.7,6.3
2020,5,16.1,7.5,21.3,2.3
2020,6,14.6,5.6,18.5,-0.5
2020,7,13.8,5.6,17.1,0.7
2020,8,15.1,6.1,21,1.8
2020,9,18,8.5,26.4,1.4
2020,10,19.2,9.7,29.6,3.8
2020,11,24.7,12.8,35.8,6.2
2020,12,23.1,11.9,35.1,7.3
2021,1,25.1,14.6,41.5,9.4
2021,2,24.5,13.9,33.9,8.3
2021,3,22.2,12.6,28.4,7.6
2021,4,20.6,10.4,32.7,4.3
2021,5,17.7,7.7,26.7,-0.3
2021,6,15.4,6.7,20.3,1.2
2021,7,14.3,6.3,17.7,-0.3
2021,8,16.3,7,21.9,2.1
2021,9,18.1,7.6,25.4,1.9
2021,10,19.2,8.5,28.3,2.7
2021,11,20.5,10.6,32.7,5.5
2021,12,24.2,12.6,39.6,7.4
